Timestamp,Query,Context,Answer,Feedback
2025-08-05 00:17:40,What is the waiting period for pre-existing diseases under the Arogya Sanjeevani Policy?,"6.2. First 30 days waiting period (Excl 03) 
a) Expenses related to the treatment of any illness within 30 days from the first policy commencement date shall be excluded  
 
National Insurance Co. Ltd. 
Regd. & Head Office: Premises No. 18-0374, 
Plot no. CBD-81, New Town, Kolkata - 700156 
Page 7 of 16 
Arogya Sanjeevani Policy - National 
UIN: NICHLIP25041V022425 
 
except claims arising due to an accident, provided the same are covered. 
b) This exclusion shall not, however, apply if the Insured Person has Continuous Coverage for more than 12 (twelve) months. 
c) The within referred waiting period is made applicable to the enhanced sum insured in the event of granting higher sum 
insured subsequently.  
.","The provided text does not specify a waiting period for pre-existing diseases.  It only describes a 30-day waiting period for illnesses from the policy's commencement date, with exceptions for accidents and for individuals with continuous coverage exceeding 12 months.",unverified
2025-08-05 00:17:47,What medical expenses are covered under the AYUSH treatment section of the policy?,"4.2. AYUSH Treatment 
The Company shall indemnify Medical Expenses incurred for Inpatient Care treatment under Ayurveda, Yoga and Naturopathy, 
Unani, Sidha and Homeopathy systems of medicines during each Policy Period up to the limit of sum insured as specified in the 
policy schedule in any AYUSH Hospital.","The policy covers medical expenses for inpatient care under Ayurveda, Yoga and Naturopathy, Unani, Sidha, and Homeopathy systems of medicine in any AYUSH hospital, up to the sum insured limit specified in the policy schedule.",unverified
2025-08-05 00:17:51,What is the co-payment percentage for insured persons aged above 75 years?,"9.3. Co-payment 
Each and every claim under the Policy shall be subject to a Co-payment as mentioned below, applicable to claim amount admissible 
and payable as per the terms and conditions of the Policy. The amount payable shall be after deduction of the co-payment. 
• 
Co-payment of 5% on all claims for Insured Person aged less than equal to 75 years on policy inception 
• 
Co-payment of 15% on all claims for Insured Person aged greater than 75 years on policy inception",The co-payment is 15% for insured persons older than 75 years at the policy's inception.,unverified
2025-08-05 00:17:57,What procedures are covered under modern treatment and what limits apply?,"4.6. Modern Treatment 
The following procedures will be covered (wherever medically indicated) either as in patient or as part of day care treatment in a  
hospital subject to the limit of 50% of the Sum Insured for the related modern procedure/ component/ medicine of each Modern  
 
National Insurance Co. Ltd. 
Regd. & Head Office: Premises No. 18-0374, 
Plot no. CBD-81, New Town, Kolkata - 700156 
Page 6 of 16 
Arogya Sanjeevani Policy - National 
UIN: NICHLIP25041V022425 
 
Treatment during the Policy Period: 
Modern Treatment 
Coverage 
UAE & HIFU 
Limit is for Procedure cost only 
Balloon Sinuplasty 
Limit is for Balloon cost only 
Deep Brain Stimulation 
Limit is for implants including batteries only 
Oral Chemotherapy 
Only cost of medicines payable under this limit, other incidental charges like investigations and consultation 
charges not payable. 
Immunotherapy 
Limit is for cost of injections only. 
Intravitreal injections 
Limit is for complete treatment, including Pre & Post Hospitalization 
Robotic Surgery 
Limit is for robotic component only. 
Stereotactic Radio 
surgeries 
Limit is for radiation procedure. 
Bronchial Thermoplasty 
Limit is for complete treatment, including Pre & Post Hospitalization 
Vaporization of the 
prostrate 
Limit is for LASER component only. 
IONM 
Limit is for IONM procedure only. 
Stem cell therapy 
Limit is for complete treatment, including Pre & Post Hospitalization","The policy covers UAE & HIFU (procedure cost only), Balloon Sinuplasty (balloon cost only), Deep Brain Stimulation (implants including batteries only), Oral Chemotherapy (medicines only, excluding investigations and consultations), Immunotherapy (injections only), Intravitreal injections (complete treatment including pre and post-hospitalization), Robotic Surgery (robotic component only), Stereotactic Radiosurgeries (radiation procedure only), Bronchial Thermoplasty (complete treatment including pre and post-hospitalization), Vaporization of the prostate (LASER component only), IONM (IONM procedure only), and Stem cell therapy (complete treatment including pre and post-hospitalization).  All are subject to a 50% limit of the sum insured for the related procedure, component, or medicine.",unverified
2025-08-05 00:18:20,Under what conditions is plastic surgery covered in the policy?,"7.5. Cosmetic or plastic Surgery (Code – Excl 08) 
Expenses for cosmetic or plastic surgery or any treatment to change appearance unless for reconstruction following an Accident, 
Burn(s) or Cancer or as part of medically necessary treatment to remove a direct and immediate health risk to the insured. For this 
to be considered a medical necessity, it must be certified by the attending Medical Practitioner.","Plastic surgery is covered only if it's reconstructive surgery following an accident, burn(s), or cancer, or if it's medically necessary to remove a direct and immediate health risk to the insured, and is certified as such by the attending medical practitioner.",unverified
2025-08-05 00:18:26,What is the cumulative bonus and how is it calculated?,"3.14. Cumulative Bonus means any increase or addition in the Sum Insured granted by the Company without an associated 
increase in premium.","Based on the provided text, a cumulative bonus is an increase in the sum insured provided by the company without a corresponding premium increase;  the provided text does not explain how it is calculated.",unverified
2025-08-05 00:18:30,What documents are required for reimbursement of a hospitalization claim?,"9.2. Documents to be submitted 
The reimbursement claim is to be supported with the following documents and submitted within the prescribed time limit. 
i. 
Duly completed claim form 
ii. Photo Identity proof of the patient 
iii. Medical practitioner’s prescription advising admission. 
iv. Original bills with itemized break-up  
v. Payment receipts 
vi. Discharge summary including complete medical history of the patient along with other details. 
vii. Investigation/ Diagnostic test reports etc. supported by the prescription from attending medical practitioner 
viii. OT notes or Surgeon's certificate giving details of the operation performed (for surgical cases). 
ix. Sticker/Invoice of the Implants, wherever applicable. 
x. MLR (Medico Legal Report copy if carried out and FIR (First information report) if registered, where ever applicable. 
xi. NEFT Details (to enable direct credit of claim amount in bank account) and cancelled cheque 
xii. KYC (Identity proof with Address) of the proposer, where claim liability is above Rs. 1 Lakh as per AML Guidelines 
xiii. Legal heir/succession certificate, wherever applicable 
xiv. Any other relevant document required by Company/TPA for assessment of the claim. 
Note:","To receive reimbursement, you must submit a completed claim form, photo ID of the patient, the doctor's prescription for admission, original itemized bills, payment receipts, a discharge summary with the patient's medical history, investigation/diagnostic reports with a doctor's prescription, operation notes or a surgeon's certificate (for surgeries), implant invoices (if applicable), Medico-Legal Report and/or FIR (if applicable), NEFT details and a cancelled cheque, KYC (if the claim exceeds Rs. 1 Lakh), legal heir/succession certificate (if applicable), and any other documents the company/TPA requests.",unverified
2025-08-05 00:18:33,What are the exclusions related to obesity or weight control treatments?,"7.3. Obesity/ Weight Control (Code- Excl 06) 
Expenses related to the surgical treatment of obesity that does not fulfil all the below conditions:",Expenses related to the surgical treatment of obesity are excluded if they do not meet all the unspecified conditions listed in section 7.3.,unverified
2025-08-05 00:18:54,How does the policy handle multiple policies from different insurers?,"10.8. Multiple Policies 
i. 
In case of multiple policies taken by an insured person during a period from one or more insurers to indemnify treatment costs, 
the insured person shall have the right to require a settlement of his/her claim in terms of any of his/her policies. In all such 
cases the insurer chosen by the insured person shall be obliged to settle the claim as long as the claim is within the limits of and 
according to the terms of the chosen policy. 
ii. Insured person having multiple policies shall also have the right to prefer claims under this policy for the amounts disallowed 
under any other policy / policies. Then the insurer shall independently settle the claim subject to the terms and conditions of 
this policy. 
iii. If the amount to be claimed exceeds the sum insured under a single policy, the insured person shall have the right to choose 
insurer from whom he/she wants to claim the balance amount. 
iv. Where an insured person has policies from more than one insurer to cover the same risk on indemnity basis, the insured person 
shall only be indemnified the treatment costs in accordance with the terms and conditions of the chosen policy.","If an insured has multiple policies covering the same treatment costs from different insurers, they can choose which policy to use for settlement, with the chosen insurer obligated to pay up to the policy limits and terms.  If a claim is denied by another policy, the insured can submit the claim to another insurer, subject to that policy's terms. If the claim exceeds a single policy's coverage, the insured can choose an insurer to cover the remaining amount.  In all cases, the insured is only indemnified according to the chosen policy's terms.",unverified
2025-08-05 00:19:16,What is the free look period provided in the policy?,"10.19.  Free look period 
The Free Look Period shall be applicable at the inception of the Policy and not on renewals or at the time of porting the policy. 
The insured person shall be allowed free look period of thirty (30) days from date of receipt of the policy document to review the 
terms and conditions of the policy. If he/she is not satisfied with any of the terms and conditions, he/she has the option to cancel 
his/her policy. This option is available in case of policies with a term of one year or more. 
 
National Insurance Co. Ltd. 
Regd. & Head Office: Premises No. 18-0374, 
Plot no. CBD-81, New Town, Kolkata - 700156 
Page 13 of 16 
Arogya Sanjeevani Policy - National 
UIN: NICHLIP25041V022425 
 
If the insured has not made any claim during the Free Look Period, the insured shall be entitled to 
i. 
a refund of the premium paid less any expenses incurred by the Company on medical examination of the insured person and 
the stamp duty charges; or 
ii. where the risk has already commenced and the option of return of the Policy is exercised by the insured, a deduction towards 
the proportionate risk premium for period of cover or 
iii. Where only a part of the insurance coverage has commenced, such proportionate premium commensurate with the insurance 
coverage during such period.","The policy provides a 30-day free look period from the date of receipt of the policy document, applicable only at the policy's inception, not upon renewals or porting.  This applies to policies with a term of one year or more.",unverified
